model,lmbda,rho,alpha,dobs,seed,X_rmse,Y_rmse,Z_rmse
magi,,23.0,0.0005,20,0,0.8023845552181804,1.311992466096431,1.1427533405698553
magi,,23.0,0.0005,20,1,0.7228962685100699,1.18204443217848,1.030251942052501
magi,,23.0,0.0005,20,10,0.3768655409989585,0.6289865858177558,0.44648663577204223
magi,,23.0,0.0005,20,11,0.9582819000035085,1.5754853271728,1.3127644636564886
magi,,23.0,0.0005,20,12,0.8374329389529033,1.3756320031113405,1.1787856005370627
magi,,23.0,0.0005,20,13,1.169712636092219,1.9136705756932217,1.6332293454620532
magi,,23.0,0.0005,20,14,0.919660341401421,1.5133165891033853,1.2774602022933297
magi,,23.0,0.0005,20,15,0.7870949063268443,1.2868381984150836,1.1338645994150387
magi,,23.0,0.0005,20,16,0.9422586552562168,1.5545222327774741,1.2623380425651514
magi,,23.0,0.0005,20,17,0.8853056826080293,1.4430812599491032,1.2590523285794901
magi,,23.0,0.0005,20,18,0.6650215749666185,1.0943216148805919,0.9132833068758234
magi,,23.0,0.0005,20,19,1.024172575901871,1.7003629409027143,1.3488662781428267
magi,,23.0,0.0005,20,2,0.7541220793508344,1.2434306538940254,1.0224959178780406
magi,,23.0,0.0005,20,20,1.1571685681227732,1.8967619422915947,1.603744719945995
magi,,23.0,0.0005,20,21,0.961474178480709,1.5609374810089287,1.3865205149454654
magi,,23.0,0.0005,20,22,0.793687958381996,1.2981126484654892,1.1312672469721692
magi,,23.0,0.0005,20,23,0.6357208687808372,1.0594386966872462,0.7916029088519829
magi,,23.0,0.0005,20,24,1.1679707453216963,1.9210258539415508,1.575572191752125
magi,,23.0,0.0005,20,25,1.0977005990048778,1.80369336454769,1.5083745283952874
magi,,23.0,0.0005,20,26,0.8562689516729183,1.4006431490994087,1.2084458684516433
magi,,23.0,0.0005,20,27,0.7045786669346162,1.1596776213973352,0.9618578945476126
magi,,23.0,0.0005,20,28,0.9621399173461166,1.5836892508792042,1.2954131197951815
magi,,23.0,0.0005,20,29,0.6827195823041677,1.1191703688638954,0.9632293717929522
magi,,23.0,0.0005,20,3,0.8729594885674068,1.4350344969401179,1.1984951694703925
magi,,23.0,0.0005,20,30,0.9491294891829335,1.5400047862643882,1.3819067939706806
magi,,23.0,0.0005,20,31,1.3545035426735046,2.2411627250824626,1.7656178907603015
magi,,23.0,0.0005,20,32,0.8483472155673303,1.388868281594996,1.1982610804949798
magi,,23.0,0.0005,20,33,0.5652081377526279,0.9351528409634434,0.7571322189890302
magi,,23.0,0.0005,20,34,0.5630612630211038,0.920181730270631,0.7961461270921057
magi,,23.0,0.0005,20,35,1.3662057399066472,2.2571011620541745,1.787297232667189
magi,,23.0,0.0005,20,36,0.6751351508068738,1.107985251393947,0.9345815226321613
magi,,23.0,0.0005,20,37,0.5576165216174299,0.9243950012071219,0.7078872336336017
magi,,23.0,0.0005,20,38,0.7024002167763241,1.1442490756578254,1.0174262781934027
magi,,23.0,0.0005,20,39,1.048170503984328,1.7273957180665558,1.4077020614712397
magi,,23.0,0.0005,20,4,0.9513562753640289,1.557904850593657,1.3102807515662325
magi,,23.0,0.0005,20,40,0.8989510513010678,1.4609660193637823,1.2967229332939538
magi,,23.0,0.0005,20,41,1.0454794186589673,1.6979403866873732,1.5212131611178465
magi,,23.0,0.0005,20,42,1.0196804955053633,1.6673668435397204,1.439135461996723
magi,,23.0,0.0005,20,43,0.9122898728770534,1.4989950298870036,1.2499823142143878
magi,,23.0,0.0005,20,44,1.2565524436824094,2.0577992086331416,1.7367668467331498
magi,,23.0,0.0005,20,45,1.1417204024170573,1.8710129773061714,1.5871530292248297
magi,,23.0,0.0005,20,46,1.2978774483320614,2.1377052438590045,1.7479620391673447
magi,,23.0,0.0005,20,47,1.0968721900173874,1.801470160457896,1.4989382775895732
magi,,23.0,0.0005,20,48,0.7607165416906353,1.2572049163092343,1.014995248788719
magi,,23.0,0.0005,20,49,0.7698741813716441,1.2595920926826534,1.0761728392087382
magi,,23.0,0.0005,20,5,0.5697443141113615,0.9350972892988494,0.7820787834953836
magi,,23.0,0.0005,20,50,0.8880748117670488,1.4558660091960374,1.2293794334273966
magi,,23.0,0.0005,20,51,1.0907382193822137,1.7853942206232687,1.5336844830795717
magi,,23.0,0.0005,20,52,0.36632808894485147,0.6118033114498211,0.47342025639332763
magi,,23.0,0.0005,20,53,0.6027529885739235,1.0021208653226659,0.7842921561153975
magi,,23.0,0.0005,20,54,0.7573470984351035,1.2272168075082792,1.1223362461731359
magi,,23.0,0.0005,20,55,0.9355803541356658,1.5430096533718471,1.2674042994109675
magi,,23.0,0.0005,20,56,0.6964086537919625,1.1392098680642653,0.9884013620746653
magi,,23.0,0.0005,20,57,0.6334509931907617,1.0335551821510685,0.9007789489590268
magi,,23.0,0.0005,20,58,1.2526393669254126,2.053294461497291,1.731561849906272
magi,,23.0,0.0005,20,59,0.7702898153874094,1.2709431823692798,1.0473226925073504
magi,,23.0,0.0005,20,6,1.0038902993533143,1.649082433432602,1.37512870153599
magi,,23.0,0.0005,20,60,0.763242970602087,1.2393697107263655,1.1073354276135876
magi,,23.0,0.0005,20,61,1.3606231445638843,2.244935229075513,1.7966042137139342
magi,,23.0,0.0005,20,62,0.7786921967077262,1.276802085269939,1.0987449433915568
magi,,23.0,0.0005,20,63,0.8523535869026109,1.3775862347386831,1.279277753886364
magi,,23.0,0.0005,20,64,1.009933118558227,1.6673574637092328,1.3602333439821273
magi,,23.0,0.0005,20,65,1.015850432934653,1.6760762202771198,1.3688350183044127
magi,,23.0,0.0005,20,66,0.494488363908707,0.8297570529992593,0.5916279958585369
magi,,23.0,0.0005,20,67,0.6578615990611527,1.0814818185111106,0.9080671605563373
magi,,23.0,0.0005,20,68,1.1322949883770759,1.852175122611151,1.5969893202419296
magi,,23.0,0.0005,20,69,1.1500140824580263,1.8802491731305724,1.6022398711522492
magi,,23.0,0.0005,20,7,1.0211810733057727,1.6608254418094308,1.4659280033509732
magi,,23.0,0.0005,20,70,0.6523288750199796,1.0609520274465254,0.9508643700168304
magi,,23.0,0.0005,20,71,0.8825655564239016,1.4478436932949617,1.2166999469756434
magi,,23.0,0.0005,20,72,0.7761730740118469,1.252666077175725,1.1551768738591215
magi,,23.0,0.0005,20,73,0.4242490858178074,0.7074942994548741,0.5313630776660635
magi,,23.0,0.0005,20,74,1.1862131926745942,1.951413896374347,1.6037491363793057
magi,,23.0,0.0005,20,75,0.8613838030375137,1.4289273244587741,1.121189822221749
magi,,23.0,0.0005,20,76,0.7397387133703238,1.2057960251786732,1.0795706832705096
magi,,23.0,0.0005,20,77,1.0423288668689827,1.7171590304224469,1.3919808648541623
magi,,23.0,0.0005,20,78,0.8708659914023582,1.425160514081633,1.2250010089125123
magi,,23.0,0.0005,20,79,0.5096301271161519,0.8476142222273577,0.633968247270692
magi,,23.0,0.0005,20,8,1.0328667467094235,1.6932042930655333,1.440885606024075
magi,,23.0,0.0005,20,80,1.2074578698616412,1.9874450736723812,1.6274958736864822
magi,,23.0,0.0005,20,81,1.0691999322082724,1.736396580449113,1.5515364813818706
magi,,23.0,0.0005,20,82,0.8302863789853017,1.349835732725789,1.1923254780633141
magi,,23.0,0.0005,20,83,1.4428163022761267,2.3626243581128086,1.963050168374707
magi,,23.0,0.0005,20,84,0.9073549880498326,1.501569814405324,1.1867924011553692
magi,,23.0,0.0005,20,85,1.1192519895493045,1.8515959998739195,1.4906846489367578
magi,,23.0,0.0005,20,86,0.7565509804330104,1.2431934420046244,1.0608597440866934
magi,,23.0,0.0005,20,87,0.6030541976115736,0.974385963468678,0.919408604870854
magi,,23.0,0.0005,20,88,0.663958141492998,1.1065488070250176,0.8391477517494592
magi,,23.0,0.0005,20,89,1.2313843946415208,2.031184975328427,1.636142350923195
magi,,23.0,0.0005,20,9,1.0007306434445722,1.6384783666134077,1.3895165372778258
magi,,23.0,0.0005,20,90,0.7123246531773796,1.1563002180058586,1.058527813192264
magi,,23.0,0.0005,20,91,0.9403088531456134,1.5217978689722216,1.3974527516522786
magi,,23.0,0.0005,20,92,1.098753008568146,1.8065308663536974,1.5016631128104743
magi,,23.0,0.0005,20,93,1.1899777938396863,1.9445984668242613,1.6663009037419882
magi,,23.0,0.0005,20,94,1.3032581041006805,2.1407036946366875,1.7700758270667392
magi,,23.0,0.0005,20,95,0.48500308438494816,0.804102454888585,0.628688070051616
magi,,23.0,0.0005,20,96,1.0825067592474178,1.7829161182375766,1.4528536177626838
magi,,23.0,0.0005,20,97,1.1201231659212247,1.8466199356731146,1.511767980351474
magi,,23.0,0.0005,20,98,0.7426386754374231,1.2166160548427132,1.0437815154030483
magi,,23.0,0.0005,20,99,0.6020028478944728,0.9857334717916715,0.8548275940480925
