model,lmbda,rho,alpha,dobs,seed,X_pRMSE,Y_pRMSE,Z_pRMSE
magi,,23.0,0.05,10,0,0.30974169683786434,2.0190964433277125,2.206067748271782
pinn,0.1,23.0,0.05,10,0,0.354375034135006,0.20835004417260805,0.22817388055223467
pinn,1.0,23.0,0.05,10,0,1.327702116910164,1.6626037272280583,2.885041113628206
pinn,10.0,23.0,0.05,10,0,2.6241404181119106,4.996204529830893,5.021401717713615
pinn,100.0,23.0,0.05,10,0,9.666328736937311,11.443827394118788,9.245271283643268
pinn,1000.0,23.0,0.05,10,0,19.807228630536642,22.56361838208599,22.019138837381945
magi,,23.0,0.05,10,1,0.38193738841075986,2.2458516223105516,2.6330647967780654
pinn,0.1,23.0,0.05,10,1,0.30419814199070155,0.1983363204468645,0.23242985032867547
pinn,1.0,23.0,0.05,10,1,1.699094798595114,1.7505410428267636,2.347144819370981
pinn,10.0,23.0,0.05,10,1,2.546046239747438,2.668837185378218,2.4813106292677554
pinn,100.0,23.0,0.05,10,1,13.3668581718959,16.256824621716444,13.810508414233832
pinn,1000.0,23.0,0.05,10,1,19.625245534793027,21.14105170531468,21.386484052152507
magi,,23.0,0.05,10,2,0.3376257286813457,2.067225241188961,2.302142559816965
pinn,0.1,23.0,0.05,10,2,0.32665437769414873,0.18966917764576038,0.22354023434186152
pinn,1.0,23.0,0.05,10,2,1.3500600889140861,1.8283167795497686,3.1857309237408713
pinn,10.0,23.0,0.05,10,2,3.1216341692075096,4.709123414999942,3.946702865301432
pinn,100.0,23.0,0.05,10,2,6.960387617714683,7.739307723953717,7.104251381826313
pinn,1000.0,23.0,0.05,10,2,20.95367313608674,19.048333179739142,17.927155189188998
magi,,23.0,0.05,10,3,0.5335110221639272,1.5175009760025453,2.0791860411265284
pinn,0.1,23.0,0.05,10,3,0.26510606300210654,0.6213298878609886,0.8428535365371144
pinn,1.0,23.0,0.05,10,3,1.387104783851107,1.6561213184334826,1.9602116362736426
pinn,10.0,23.0,0.05,10,3,2.2208247215389285,2.3381058216702484,2.268331678919732
pinn,100.0,23.0,0.05,10,3,7.905952018411901,7.184698604740413,7.567345571368935
pinn,1000.0,23.0,0.05,10,3,22.683685913739154,18.316121018661935,19.301716902983202
